status,report,source,chars
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000067-355-Bibliography-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/355-Bibliography.md,8256
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000068-83-Philips-and-Fokker-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/83-Philips and Fokker.md,8024
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000069-364-Gandhi-and-the-politics-of-khadi-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/364-Gandhi and the politics of khadi.md,8450
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000070-140-Bibliography-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/140-Bibliography.md,8272
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000071-389-Bibliography-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/389-Bibliography.md,7987
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000072-390-Books-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/390-Books.md,7716
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000073-323-Graphic-design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/323-Graphic design.md,8275
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000074-116-Avant-garde-graphic-design-Dev-tsil-to-Surrealism-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/116-Avant-garde graphic design Devětsil to Surrealism.md,8490
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000075-403-The-avant-garde-and-proletarian-graphics-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/403-The avant-garde and proletarian graphics.md,8498
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000076-169-Graphic-design-typography-andexhibitions-report.md,"00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/169-Graphic design, typography, andexhibitions.md",8814
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000077-286-Australia-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/286-Australia.md,8260
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000078-310-Graphic-design-and-the-state-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/310-Graphic design and the state.md,9159
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000079-180-Germany-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/180-Germany.md,6836
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000080-430-Operations-research-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/430-Operations research.md,7679
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000081-433-Propaganda-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/433-Propaganda.md,7790
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000082-424-United-States-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/424-United States.md,8424
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000083-187-The-Museum-of-Modern-Art-s-Critiqueof-Modernistic-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/187-The Museum of Modern Art's Critiqueof “Modernistic.md,8934
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000084-253-Education-for-the-trades-and-applied-arts-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/253-Education for the trades and applied arts.md,8547
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1261-Learning-to-Consume-introduction-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/01-Learning to Consume Early DepartmentStores and the.md,8799
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1262-Department-Stores-Innovators-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/02-The Department Stores as Commercial Innovators Fro.md,8768
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1263-Looking-to-Buying-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/03-From Looking to Buying Innovations of the Early De.md,8942
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1264-Feminization-Shopping-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/04-Early Department Stores and the Feminization' of S.md,8750
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1265-Department-Stores-Urban-Culture-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/05-Early Department Stores and Urban Culture Notes Re.md,8841
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1266-Learning-to-Consume-full-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md,11995
