status,report,source,score,margin
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1115-Manufacturing-efforts-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/346-Manufacturing efforts.md,0.6779,0.3245
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1118-Southern-Africa-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/349-Southern Africa.md,0.6765,0.2752
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/353-Tourism graphics.md,0.5903,0.0130
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/355-Bibliography.md,0.5101,0.0000
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/83-Philips and Fokker.md,0.3087,0.0000
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1133-Orientalists-craft-romanticism-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/362-The Orientalists and craft romanticism.md,0.5732,0.2438
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/364-Gandhi and the politics of khadi.md,0.5618,0.1441
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1142-Hong-Kong-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/370-Hong Kong.md,0.6780,0.3040
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/140-Bibliography.md,0.5289,0.0124
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/389-Bibliography.md,0.4791,-0.0296
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/390-Books.md,0.3246,0.0325
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/323-Graphic design.md,0.4162,0.0000
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1174-Bijin-ga-posters-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/401-Bijin-ga posters.md,0.7352,0.4068
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/116-Avant-garde graphic design Devětsil to Surrealism.md,0.3975,0.0492
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/403-The avant-garde and proletarian graphics.md,0.5489,0.2047
needs_new_report,,"00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/169-Graphic design, typography, andexhibitions.md",0.3630,0.0061
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/286-Australia.md,0.3683,0.0239
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/310-Graphic design and the state.md,0.3462,0.0000
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/180-Germany.md,0.3554,0.0828
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/430-Operations research.md,0.6201,0.0306
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1199-US-Aircraft-Design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/426-Aircraft design.md,0.6550,0.2974
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/433-Propaganda.md,0.5543,0.1732
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/424-United States.md,0.4926,0.0759
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/187-The Museum of Modern Art's Critiqueof “Modernistic.md,0.2890,0.0305
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/253-Education for the trades and applied arts.md,0.2949,0.0000
