版本编号,文献编号,原版出版年份,所用版本年份,中文译本信息,不同译本差异,推荐使用版本,引用页码版本,备注
ED00114,B3230,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/28-Notes.md
ED00115,B3231,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/29-Copyright.md
ED00116,B3250,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004.md
ED00117,B3232,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_01_cover_封面_扉页.md
ED00118,B3233,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_02_preface_NICOLAS.md
ED00119,B3234,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_03_toc_CONTENTS.md
ED00120,B3235,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_04_preface_ABCUEP_ABCOEP_ABCUEP_ABCUEF.md
ED00121,B3236,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_05_body_CHAPTER_1_THE_BIRTH_OF_GRAPHIC.md
ED00122,B3237,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_06_preface_Advances_in_printing___The_tot.md
ED00123,B3238,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_07_body_CHAPTER_2_REVOLUTIONS_AND_AVAN.md
ED00124,B3239,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_08_preface_Freedom_for_all___)e_Stijl,_a_.md"
ED00125,B3240,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Alain Weill：《Graphic Design A History》，2004/Alain Weill：《Graphic Design A History》，2004_09_body_The_German_example___The_new_t.md
